"STATION","NAME","DATE","AWND","SNOW","TMAX","TMIN"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-01","10.51","0.0","73","44"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-02","7.16","0.0","63","41"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-03","5.14","0.0","56","44"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-04","4.92","0.0","53","46"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-05","3.58","0.0","64","43"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-06","6.71","0.0","75","43"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-07","5.82","0.0","62","44"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-08","11.86","0.0","54","42"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-09","14.99","0.0","75","46"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-10","13.87","0.0","69","47"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-11","7.16","0.0","57","41"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-12","13.65","0.0","49","43"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-13","9.62","0.0","48","43"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-14","9.17","0.0","51","40"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-15","7.61","0.0","69","39"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-16","5.82","0.0","63","43"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-17","9.62","0.0","70","50"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-18","5.59","0.0","66","41"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-19","8.72","0.0","82","54"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-20","15.43","0.0","71","48"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-21","11.18","0.0","65","45"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-22","7.16","0.0","68","43"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-23","11.41","0.0","77","55"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-05-24","8.72","0.0","69","55"
